[2016-08-07 10:28:00] <error>  Traceback (most recent call last):
  File "/home/hitnslab/docker/demo/bin/topo_operate.py", line 173, in TopoDelete
    topo_dict=self.mongo_operate.get_data_condition("cluster",{"caseins":data["caseins"]})[0]
IndexError: list index out of range

[2016-08-07 10:28:25] <info>  数据初始化完成!
[2016-08-07 10:28:25] <info>  sudo ovs-vsctl add-br br_4dcda716_3_5
[2016-08-07 10:28:25] <info>  sudo ovs-vsctl add-br br_4dcda716_4_5
[2016-08-07 10:28:25] <info>  sudo ovs-vsctl add-br br_4dcda716_0_5
[2016-08-07 10:28:25] <info>  sudo ovs-vsctl add-br br_4dcda716_2_5
[2016-08-07 10:28:25] <info>  sudo ovs-vsctl add-br br_4dcda716_2_1
[2016-08-07 10:28:25] <info>  sudo ovs-vsctl add-br br_4dcda716_0_1
[2016-08-07 10:28:25] <info>  sudo ovs-vsctl add-br br_14e5d03c
[2016-08-07 10:28:25] <info>  sudo ovs-vsctl add-br br_ba28501f
[2016-08-07 10:28:25] <info>  sudo ovs-vsctl add-br br_2c51e11a
[2016-08-07 10:28:25] <info>  sudo ovs-vsctl add-br br_24236a9e
[2016-08-07 10:28:25] <info>  sudo ovs-vsctl add-br br_6afa4f69
[2016-08-07 10:28:25] <info>  sudo ovs-vsctl add-br br_85478256
[2016-08-07 10:28:25] <info>  网桥创建完成!
[2016-08-07 10:28:25] <info>  sudo  docker-compose -f /home/hitnslab/docker/demo/user/bf33578c/docker-compose.yaml  scale  24236a9e_0=10   6afa4f69_0=10   router=6   
[2016-08-07 10:28:25] <info>  docker创建完成!
[2016-08-07 10:28:25] <info>  virsh dumpxml irc-server-windows > /home/hitnslab/docker/demo/user/bf33578c/bf33578c_14e5d03c_0_1.xml
[2016-08-07 10:28:25] <info>  cp /var/lib/libvirt/images/irc-server-windows.img /var/lib/libvirt/images/bf33578c_14e5d03c_0_1
[2016-08-07 10:28:25] <info>  virsh define /home/hitnslab/docker/demo/user/bf33578c/bf33578c_14e5d03c_0_1.xml
[2016-08-07 10:28:25] <info>  virsh dumpxml irc-controller-windows > /home/hitnslab/docker/demo/user/bf33578c/bf33578c_ba28501f_0_1.xml
[2016-08-07 10:28:25] <info>  cp /var/lib/libvirt/images/irc-controller-windows.img /var/lib/libvirt/images/bf33578c_ba28501f_0_1
[2016-08-07 10:28:25] <info>  virsh define /home/hitnslab/docker/demo/user/bf33578c/bf33578c_ba28501f_0_1.xml
[2016-08-07 10:28:25] <info>  virsh dumpxml irc-target-windows > /home/hitnslab/docker/demo/user/bf33578c/bf33578c_2c51e11a_0_1.xml
[2016-08-07 10:28:25] <info>  cp /var/lib/libvirt/images/irc-target-windows.img /var/lib/libvirt/images/bf33578c_2c51e11a_0_1
[2016-08-07 10:28:25] <info>  virsh define /home/hitnslab/docker/demo/user/bf33578c/bf33578c_2c51e11a_0_1.xml
[2016-08-07 10:28:25] <info>  kvm创建完成!
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_14e5d03c eth0 bf33578c_router_1
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_1 ifconfig eth0 10.0.0.1/24
[2016-08-07 10:28:25] <info>  sudo virt-copy-in -d bf33578c_14e5d03c_0_1 /home/hitnslab/docker/demo/user/bf33578c/setip.bat /
[2016-08-07 10:28:25] <info>  virsh start bf33578c_14e5d03c_0_1
[2016-08-07 10:28:25] <info>  sudo ovs-docker add-port br_ba28501f eth0 bf33578c_router_2
[2016-08-07 10:28:25] <info>  sudo docker exec bf33578c_router_2 ifconfig eth0 10.0.1.1/24
[2016-08-07 10:28:25] <info>  sudo virt-copy-in -d bf33578c_ba28501f_0_1 /home/hitnslab/docker/demo/user/bf33578c/setip.bat /
